sentence,label
kanhaiyakumar kanhaiyakumar beta nafrat tum jaise jahil illiterate failate hain Pata nhi kon si phd chal rhi h,0
MirchiSayema One of my favorites too Another one at the beginning of the movie Chhoti-chhoti chitrayi yaadein,2
waseemAli0007 Mansoor Ali ImranKhanPTI Tera nam taray ander ki jalan btaa raha hai Sari duniya main oil price,0
cbhanp JAI BHEEM Great News for BAHUJAN KUMBKARNAAS becoz of whom this is in Happening This is the Kick St,1
don t u love when the one person that gave a fuck,1
maham zaini peaceforchange En ki zalalat ki daastano se tareekh k aoraaq bhare pare hai behna ye aise nahi samaj,2
Tang color Tum india wale sari yahi sochti ho ki Pakistan wale atankistan h par nhi kuch he log lagti h thik,2
sardanarohit Rohit bhai I am your big fan,2
bavS9ZSdtS9YtXz ma lanat bhejta hn tun pe or tmare,0
I dont slay ATSBB Inta seriously nahi leneka segments ko Segments are pure fun nonsense and,0
KRKBoxOffice kamaalrkhan itsBhushanKumar ZeeMusicCompany Kutta bhonkne lga bhaiyo firse sale gale me patt,0
shoaib100mph World cup mein mard nahi khusre gae hein jo larna nahi Twitter per ZAbbasOfficial k sath,0
BeingSalmanKhan Bhaijaan ji please mein apka bahot bahot bada fan hoon please meri Jindagi bachalijiye please mein,1
BabaJotwani The scene where sahil proposed to vedika That Dialogue was magical indeed coz I haven't heard that,2
yadavdimples kanhaiyakumar pbhushan1 A bhauji tohra ka haal ba tu kahe Ludhak gailu Eka matlab Akhilesh bha,1
Scratch that KFC ke bhi auqaat nahi rahee after today's defeat pesay doob gayee Sarfi ke chakaar main Andaay,0
RT aakashsoni786 DSSCampaignAgainstDrugAbuse Gurmeetramrahim Papa Ji Aj Mera P hd Entrance Exam Tha Ap Ji Ki Rehmt se,2
To all muslim sab e qadar mubarak,2
Jainritesh rj abpnewshindi ShashiTharoor kai bar product khrab nhi hota logo ki choice khrab hoti hai product ki,1
Aaiye Aapka Intezaar Tha DAMN Kitna khoobsurat hai yeh ladka Mashallah Can't wait for new season,2
RT Being Zeeshan09 Love u Bhaijan Father son Bharat IAmBharat BEST Pic From Entire Promotions Mashallah,2
BaBoo sAhEb To Tera jat talbani Jess harqate kyu Kar tahe masum logo ko kyu Marta tab Tera ammi kaha Mar jate he,0
ANI Mazhab ke naam par Election jeetna koi bada kaarnama nahi hota A message to asadowaisi and narendramodi,0
phata dhol Seriously one of the best post i have,2
RT 1RockChickie May Allah bless us all with strong imaan taqwa piety a pure heart and good manners Ya Allah give,2
Chiller man giving big jhtka NSEcoloScam has made it a laughing stock firstpost aajtak anjanaomkashyap,1
RT omcswe u do things for ppl u adore because u just want to it's not a transaction it's not give take u do because it's,1
GeetaJo03646903 Apne desh ke logo ko thug kar Chala Sanjeev,0
aajtak ab ye btaega isse pucho tere jiyne b MLA hai usme se gina hindu MLA kaunsa hai teri muslim awaadi wale gaao,1
Aye Haaa No lie I think you should buy a new pair bc I haven t put these shits on the,1
fahadmustafa26 aijazz7 faysalquraishi Jerjees Bhai yeah glasses wali admi kon hai jo appki har,1
RT bhattd77 MamtaOfficial TajinderBagga Sumita09445393 Mumta Bano Mhatma Ghandhi ki smadhi pe nhi jayegi kyu Vhan,1
Deepak151089 Beingmemyself UrvashiKothari1 LynchNashun waglenikhil India me to modi ji aaane k baad muslims sa,1
Boy kiya age hy tmhri Girl Boy be mine I LOVE YOU Girl I'm taken Boy abhi tmhri umer hi,1
undefined here SyedaSaba12 Syed Ali BTW kisi jhootay maseeha ko maseeha man leny sy qafir nahi ho jata koi K,0
Mc hai sala imVkohli sale lo jyada ghamand hai Kuch din ruk sale tera ghamand dur ho jayega,1
Shaan pathan DwivediAnukriti Ikk toh sarkar job ni de rhi or upper se apne india ke log kaam karna nahi chahat,1
RJDforIndia Han Chara ghotale mein bhi to laloo ne kitney hi gavahon ki maut ke,0
Good Morning Gurmeetramrahim papa ji plz bless me more sewa sumiran parmarth ka bal bakhshna ji Dhan dhan sa,2
mona qau Pakistani girls photo without Pakistan ka karz Ada karo Pakistani girls for Heera Mandi Mein Bata Do,1
ur boi kdo Most unpractical and cool,1
suhailswarraich Journals k bare me Bt ki isne jbhi isko ye cripption Ka,2
GauravGarg888 PrashantMavani sir prashant dhawan is kohinoor of study iq he is the best teacher of current aff,2
ReallySwara Last checked MP me Congress ki Sarkar hai and law and order,1
RAShahzad1 Yeah jo aap hamara roza kharaab karay hain na yeh uss ka notice hay lol Allah aap ko aur aap ki family,1
Desh ke gaddaro ke liye saal bahut painful hoge kyoki Mota Bhai is now home minister of India,1
Ekto aap log muskurate bhut ho or sharmate bhi bhut ho Dil to karta hi Aaplogon ko Eid pr bolaun,2
marvisirmed mjdawar Nice joke tmhare ghaddaron ko danda janay waala hai landay Ka istimal maal pakra hai ussay,1
sherryontopp Antar atma ko bech Diya hain jab tak beijjat karke bhagaya nahi jata tab tak nahi hilega lekin rahe,2
Khan sahab apko vote diya taky ap PM bany or Alhamdulillah ap bany bi PM magar Khan Sahab ab to gabraht ho rahi,1
pnbindia sir mere a c se ko Rs1180 deduct ho gaya hai kekin branch office kahta ki mai nahi janta ki k,1
Amrann You can t even be nice for a second,1
AmitShah narendramodi Aapko bahut bahut badhai ho Amitshah ji asha karte Hain ki aap bhi Modi ji ki tarah hi hama,1
MileyCyrus It would bring me great joy to hear your rendition of Des ree s You Gotta,1
MaryamNSharif Mera khayal he apki nazron se woh document nehein guzra jis me apke papa ne bahir janey keley Mushar,1
RT amnajhk no one no one at all jane the virgin narrator i knoOW straight out,1
RajivBrar1810 addatoday ajaydevgn Rakulpreet Bhai plz bhagwan kre Bharat acchi movie ho qki dedepyarde jitna,1
RT GuruOfficial Wishing my bro officialvee a very happy birthday Many more hits on the way together THANKYOU for,2
RT arydigitalasia Apki aik gawahi ne Mannat ko pagal saabit kerdia hai Watch Cheekh tonight at PM,1
just listened to my first jojo siwa song i,1
RamshaOfficial Sara masla is hi bande ki wajh se hai yehi fasad ki jar hai is ko team nhe chalane ati In palyers ka,1
Being SK Chetan taran adarsh Abe chutiye tera criminal jaisa ghatiya publicity stunt to nhi kr rha h n jo unneces,0
purplemoon Kung hnd ko pa checheck bat ka DM ko mukha ni Jungkooky hnd ko maalala,1
Baby you did an amazing job today i hope you re feeling good i wish i would be at your hotel room wating for yo,2
Dil k khush krny ko ghalib khyal acha ha what a myth,1
MaryamNSharif ALLAH jise chahe Izaat de r jise chahey zilat dt Dua ha ALLAH Nawaz shareef ko us k khandan ko r u,1
RT RajheshVaidhya NGK good one kudos to the heroes,2
IndiaToday OfficeOfKNath SAHI HOGA SAYAD TABHI SIRF APPKI CHANNEL PE YE DIKH RAHA HAI WARNA KUCH BIKAV,1
Mr Ez1403 Ja na Pakistani pig Dukkar kutta,0
Aise barish se dosti a66i nahi maaraz tere khud ka gar mitti ka h Ku6 to khyal kar Tera intzar har koi nahi karega,1
anooymous IlhanMN What the fuck does this mean apna neeche ka band karke rakhna jyada kholne ki jaroorat hani,0
Ham tu ak ayena ha tu dikhaya gya dagh chahru ka Jis ku bura laga samna sa hat jay We love pak army,1
BCCI DineshKarthik Happy birthday to you bhai I pray to BABA VISHWANATH for your good health and bright future,1
Gurmeetramrahim good morning pita ji thanks for the new day pls bless me sewa sumrin and parmarth bakso ji,1
indiatvnews ITBP official manishindiatv Superbbb voice arjun ji u have realy its mean it so much i salute yuh,2
chhavi Absolutely right But in the history of independent India inclusion secularism were talked about but nev,1
Snowycaa Thicccccccc XD I can confirm that Snowycaa did this for a dare I'm one,2
rajnathsingh congrats sir Lucknow ki shaan bada di aapne veerta aur shaurya ki missal ab aap,1
IamHaseebAhmad majorgauravarya UN Ha ha ha Cow mutr peeke we have won all wars against you guys You should st,1
https t co x4CcWjt1TA Doston My New sad song Pyar ki Raah Kathin written by My big brother Shivendra Sugam on,1
GdBakshiJe Modi ke jitne ka asar vipaksh pe he nahi padosiyo pe bhi hua hai Bokhla gaye sare ke sare Modi akela,2
IamImranAshraf Bholy bhayaa Ufffff dil jeet liya ap ne Love you imran bhai Mind blowing ap ki acting hai ALLA,2
Triumvirate1 darshanbhatt22 Cid r4y Pori dunya main or tum log abhi bhi main Growup Ab kisi ko bhaija to,1
RT ooobhaishab TerriblyMemer ne aate hi half century kr di Thnku bhai itne like ke liye,2
pranchal54 RemovArticle370 BJP4India Jansankhya aur atikraman desh ka sabse bada samasya hai Beat,1
ObcCarvan Hariramkoushik OBC bhikhari nahi hai aur bhenchod bheemte obc naam ka account bnakar apni maa chuda rah,0
Dr fizakhan Pakistani girls photo without Pakistan ka karz Ada karo Pakistani girls for Heera Mandi Mein Bata,1
aleemkhan pti Janab Thank you Very Much for your short Break my place May Allah protect you your family,2
gnnhdofficial Shahidmasooddr sayedzbukhari ImranKhanPTI PTIofficial pmln org MediaCellPPP Chalo g BC inhi c,1
akashbanerjee CONGRATULATIONS AKASH BHAI AAP KO PHIR SE SAAL KA CONTRACT MIL GAYA KeepItUp NOTE SORRY,2
peaceforchange Husain haqqani sab ap time nikal k mar q nahi jatay is dharti py bojh he,0
RT pepsi Nothing like a fresh hit of Pepsi on a day like today,2
Rehan30837935 jalee na brumbyoz Pehle Tu apna photo DP rak phir bark kar kutte ki tarah Chal,0
SrBachchan Sir need ur blessing on my wedding anniversary myself my wife sonia Pranam you AAP ka ashirwad b,2
Abhishekkar CNBC AKA sir ne to CNBC ke pahele bol diya tha,1
Nxt five years main India change hone wala hai kyoki modi sarkar bht bda bdlav krne wali hai Ye main ni hmare modi,2
IamImranAshraf Uff kya acting he Bholey ji apki Kamaal krdya Aisa koi actor hi nai abtk jo is charactr k saat,2
Raand Congress se v Randwa RJD se buri tarah se HAARA,1
RT Varun dvn KALANK in theatres now Zafar aap ka hain A character I loved playing in this epic love story No,2
PiyushGoyal narendramodi Bahut bahut badhai AAP jaise logo ke Karan hi Modi ji Ko majboori Mili hai isi tarah se,2
TahaSSiddiqui sasty or ghatya nashy kar k ye suwar samjhty is trah ki bakwas kar k humein,0
RT sanjaymanjrekar Proud to have been part of this brilliant commercial released during WC time Great,2
SKFforlife Haha Overrated kisko bolte hain chuuuu pehle yeh pata kar BC ata pata kuchh nahi chale aate hain,0
POGO launches all new show kalari-kids Love the enthusiasm of my little ones when they saw Chhotabheem dancing an,2
f i r k i Pakistani to aise hi ki rote rhte hain uss time to England ne pe kar diya tha all-out Iss baar,2
I wanted to see you in Loksabha kanhaiyakumar It's OK kanhaiya ji vichaar badlenge desh badlega vidhyarthi,2
JBhrahmin ankimast Wow tum red plain saree pahen na bahut cute lagegi Red plain saree with sleeveless blouse,1
ChaBoyyHD Chaa Can ihave any cheap Ak Cuz Ak it's my Fav Weapon If u wan we can battle if i win u give me,2
Day by day this slogan has proven to be true,0
manakgupta wo election ke liye badha ke btaya tha accpt this is bar election commission or media ko bhi bewakoof bnaya,0
republic He is a bemaar bhikhari kutta why was he dying dub his stupid movies in hindi no wonder the people of tn,1
abpnewshindi ABP news saal se mon nahi bhara Congress ko koste sawal karte ab tweet duwara mazaak urane aare,0
RT SharmaRaghvi EVM hack ka bahana nhi chla paye Ab fir ye saath nikli slips ka le aaye Fir bhi ho gyi,1
RT Laliinsan1gmai1 Dhan dhan satguru tera hi aasra papa g good morning pita,2
Manmohan Singh being considered for party presidents post Ek chuppi hazaar baton se behtar hai usse badhiya,1
One India sabka saath sabka vikas sabka visvas,2
Aban Ind Prothom Kolkata campaigncalling media sangbad Biswa Bangla etc eisob chotokhato channel gulo dekho Sudhu,1
kshukla778 Payal Rohatgi Tere maa baap ne bohat badhiya sikhaya hai certificate batna sabko ki kaun kiska chamcha,0
I miss them we were a craze we used for them bas koi kuch galat bolde old memories,1
mamata for PM Mumtaz bano hindu ko dhamki de rahi hai bengal me hi nai pure desh me hindu ka khoon garam ho chuka,2
brokengaal i love u so much and theres absolutely nothing to be insecure about bc ur unique in ur own way ok u,2
MaryamNSharif ap beti hein apko beshak apny baap ki yaad ati hoo gi Allah apko hosla dy pr certainly apka baap ek,2
Thank you all for supporting wayuutaya THANK YOU THANK YOU strongwitheliza samanthajayz angelmartin00 galiya s,2
dhruv rathee Han to gaand k keede cow meat kliye pehle se bnde convicted h yeh log aur jb ban h to teri maa ko,0
It s proud moment for Ganjam that more than students of Odisha Aadarsh Vidyalaya of Ganjam scored more than,2
PAKvWI me WI wickets se jeeta tha ajj wickets se jeet gya world cup hamara hai Ye wali chawle koi na m,2
RT official engr peaceforchange Sir merey lye bahut khoshi ka maqam hoga agr ap ne mujy reply kya Love you sir,1
I Love You I said Ek raat ka,2
engrzeeshan91 Pr ye oopr jo btaya wo to,1
tamannaahspeaks Very nice Tamanna Tamanna very,2
SachinPilot Apko deputy CM se minister chief kb bnaya ja rhaa,2
akshay vbk78 spectatorindex Tera pichwada hai bc jb se modi ji jeete hai jali padi hai Tabse pichwaade ki jagah muh,2
SAfridiOfficial Shahid bahi wahab riaz ki bowling mein experience nahi sirf wide aur,0
shirishy Isko nikal dia tha world cup me sayad Ek Banda call p Aya bolta h India england and Australia,0
RT Sukhjaykumar1 PledgeAgainstCorruption Gurmeetramrahim Good afternoon guru g bless us and give us power to do more,2
It s so nice seeing the glow-up of people after May-hem Congrats guys,2
AcharyaPramodk Jitni media ne bjp ke liye prachar ki hai utna to khud bjp ne bhi bjp ke liye nahi surgical strike,2
RT aftabkatauli1 khanumarfa thewire in therealnaomib SrishtiTW Siasat me rawadari hai samajhta hai Wo roza to,2
SAMBIT PATRAg anjanaomkashyap Sab she pahele tere gahr me kanon lago kr kiyo ke teri faimly pr tera kabo nahi he,1
arjunrammeghwal nstomar JoshiPralhad PIBHindi PIB India Arjun Ji jai punrasar baba ki Jai Bikaner Rajasthan,1
theskindoctor13 Doc saab bahut he badhiya video banaya andhere,1
MalboBagums Sari shairi tassali aur dilasay pay hi munhasir hoti hai warna shairi kyun karay koi,2
hSghRjpt1 Nationalist Om gandhi ko ham isliye rastrapita mante hai kyu ki wo ahinsa vadi the ye nahi hote to aja,2
kamaalrkhan If i am not wrong,2
Samaj mai ye nahi aaraha ki kyun halat mai sudhaar nahi ho raha hai kyun karyawahi nahi ki ja rahi roads per the,2
squintneon Usko toh kejriwal ne khud reject kar diya tha Education minister toh kejriwal khud bana sakta tha Raj,0
sunoo chanda make a gentle and nice relation with someone life me kisi k sahare,1
dur rahiye Sex is cool but after nikah ose phele kise ko hath laga ne ka bhi,2
KElectricPk Sub bakwas ha ye apni harkaton se baz nhi ayen ge kisi na kisi fault ko jawaz bana kr ye light band ra,0
AamAadmiParty ArvindKejriwal x cm Shila dixet or under karne wale the feku tum annaji ko,1
pramila2710 DrKumarVishwas Lekin itne kharab result se KUTA BAUNA HARAMI HANDSOME SUVAR SINGH etc ka gussa,0
RT SonuNag13101789 ValueTime ValueLife Gurmeetramrahim Derasachasauda Pujya guru ji kehte h ki jo insan samya ki,1
imMAK02 Are bsdkk Dhruv Tyagi ke bare main kitni bar Muslim aatankwad bola tune Vivek hatyakand ke bad teri zu,0
ZarinaBano Bharat ka Musalman hamesha secular govt k liye vote karta raha hai karta rahega Haar jeet sikke k d,2
Congress party ne pehle se feku bhakt Media ka agenda samaj liya hote to ye chunav nhi hartefeku bhakt Media ne fe,0
Vipul49997183 dtptraffic Ghoda Ghaans se Dosti kar lega to khayega kya Delhi Sarkaar Home Ministry public ki na,0
RT BurgerKing for real tho we re trying to pay off those loans introducing Whopper Loans make a purchase through the BK,1
RT TAETAE PH Watching BTSatWembley is making me miss them more Sighhh I m really hoping for BTS in PH we miss,2
asadowaisi How come he was the first man What about earlier incidents Ab inke Naam se roti pel raha,0
Need is branch ke students ki hai jisase digiral India par force diya ja sake aur corruption bhi na ho Mai shr,2
Aap pichla saal se media ka ghatna kramank Ko rewind karke dekhiye jabbi vipaksh ne ruling party ke neeti ke baar,2
htTweets harijdas7 aur bakwas karma aur TV per galat sandesh dena to kam hua Instead each Congressi Neta aur Kar,0
SatyaHindi ashutosh83B Desh aaghe baad raha hai ye religion ke naam pe bakwas karna baand karo aur tumhare AAP,2
RT aamir khan I'm very sad to hear about Veeruji passing away I had the pleasure privilege of working with Veeruji He,2
RT smithmaheshwari Me as a father Son Papa aaj main night study ke liye jau ga Me kitne baje Son,1
saleem mohad ham log ko koe dukh nhi hay tumko,1
breatheapril I know it's so late for me to comment on this tweet but I just wanna say I really miss you and your n,1
INCMP MP m Kamalnath government ko vote diye the ki Employment milega pr months ho gye ghanta kuch ni hua,0
StarMoo75329799 HarunKh67113991 jandkheadlines Shehla Rashid Krishna tab tha jab tera allah peda bhi nahi hua,0
show acha chalna chahiye people dont care kisko chance diya kisko nhi jo main h kisliye hai Entertainment jyada krt,2
RT psf team Lathi Goli Ki Sarkar Nhi Chalegi Nhi Chalegi,0
AkhileshPSingh Chal be har gaya ab to sudhar ja Ki fir se uncle RahulGandhi ko harwayega Tere jeson ki wajah s,2
ASIFCHUGHTAI987 matineees Payal NavidocSingh Markhor pak DonPilots AbdulQa13248496 KabristaanC,1
asli sapna we eradicate Untouchability poverty is,2
sid abu GulBukhari GandharaRFE Kute ki tarah bhonkta he jb k ye farishta k cousin ka wo attitude he jo tere,0
narendramodi Respected PM Modi jiii Hamare Odisha ka Educational System ka Daityo Aparajita Sadangi mam ko dene ke,1
AzamJamil53 Kab k uth gye Gulshan k karobar bhi chal pare Fed the dogs did the few dishes left from last,0
RT LukeEclair FF Have a great weekend politicaldani Bhav Popat ConnorJonesCons ali,2
Modi chor ko pta tha k EVM set ho chuki h aur election commission ko inform kr diya gaya h k hme seat chahiye e,0
mlkhattar Sir Congratulations on your marvellous victory BJP but it seems that no one is ever bothered about sev,0
AnwarLodhi Make sure he becomes the bootlicker exactly the way you are Allah apke saye se is,0
Lalitrashtraban sherryontopp pahle usko bulao jisne kaha tha notebandi fail hui to ap mujhe beech chaurahe par,1
M nh m l n nh em g i stay strong Lalisa We always love you AlwaysStayWithLalisa,2
hamsab milkar dhundhe us teesre ko jo Muslim me jake hindu bnke aag lagata Ya hindu me jake Muslim bnke Aur dono,2
DurexIndia kkundrra Chutiye ke lodo mna kisne kiya hai orgasm karne ko karo na bhosdi walo agar orgasm nhi ho,0
WaseemBadami iqrarulhassan We will miss the beautiful voice of AmjadSabriShaheed Allah un k darjaat buland far,1
HareKrishna ke parliament Election me Hg Modi ko koe gali nahi degaphir v Modi hi jitega beta jara gali,2
INCChhattisgarh Appne too kabhi kisi shahid ke family ko kabhi bulaya nahi oath ke liye kya comparison kar rahe,0
Happiest b'day BeerBicepsGuy Thanku bade bhaiya for motivating and making,2
RT The Loyal Guy tooterforiphone Allah apko kushiyaan naseeb farmai bhai jan,2
SanjayAzadSln Correct Yeh chatukar Good meadiagovt K always kisi bat nahi sunta Boycott hona chahiy Magar Ye,1
AshrafFem Kisi ki bhi hatya hona bahut galat hai per ashraf ji jab koi hindu ki maut hoti hai to aap tweet ku nahi,1
cloudy megha StarPlus Aap sadi ke liye kayo tayar hui jab ki veer se aap bahut payar karti hai koi na koi baat,1
asadowaisi Teri maa ki chut behen ke lode Teri gand main jor h to minute ke liye mil le tujhe Teri Randi maa ke,0
Modi Ji apko fr Ek baar pm banne pr congrats Hamare desh ke logo ne jo Ye visvas banaya hai apke uper is visvas ko,2
Bhai Modi ji ko jeetna hi tha But now early waiting this epic advrtsmnt series Mauka mauka,1
Its okkkk loveee you are one of my most favourite persons here,2
PiyushGoyal narendramodi PiyushGoyal drmncrald RailwaySeva manojsinhabjp Sir mai allahabad ald se sirathu,1
RubikaLiyaquat RUBIKA GANDI TO BATA JO ANDAR KO MATRI BANYA H BJP NE O KYA BAYAN DEYA H SALI HARAMKHOR TEREI CHOD,0
rsprasad Ravi shankar ji namaskar waise to sabhi jatiyo ne aapko vote diya kuchh ne nahi diya parantu kayasth ne,0
jini zindgi guzri a jini baki a sari ty lant beshumar,1
If you don t like zhoom barabar jhoom movie then we,0
VSShishodia msisodia Are is wajah se khatana mai bahut jam kah gaya tha waha police sahi se duty nahi kar rahi th,0
Today is a bday of my murshid may ALLAH give them great health that they can more work muslim ummah or ALLAH unka s,2
RT legaynd listen bhenchod you re such a pyaara bachha im so fucking happy you finally have a gf omg I love you AND,0
OfficeOfKNath Sir kya apka sharkar aane ke bad bhi muslim safe nhi hain madhay pardesh me 23may ko jo video aaya,1
BJP is now garibo ki Party who thinks for everyone and Congress is now kisi ki bhi party nahi who,2
RT Salmanashraf313 CallMeMeeru Meri life mae aik ap or ZoyeMemon apa ke brday ka din aise hota hae js ka mujae bht,2
Naa hum bhulte he khuda ko Naa unhko jo hume as allah s gift mile he unko Bhulne wali galiya hum chor aaye piche,1
janupande Tumhari marzi chhor do twitter yehi agar Facebook hota na toh tum log chhorne Ka sochte tak nhi P,1
ramsarnacharya1 ZeeNewsHindi Swami ji karmo ka fal jaroor milta hai chinta na Kare Apne acche karm kiye apna dha,2
TheRashooAwan No bro aghar tera dost hota team ma to phir possible,1
zoo bear Atheist Krishna Zoo bear bhai tumara har jagah se kaat Gaya hai keep calm and start,2
Bhuvan Bam So happy that uncle is fine hamare BB ke pita ji hey aaise hi thodi bimar,2
Looks great stays that way JatayuPlywood-Visvas ka Prateek plywood wood plywoodfurniture woodworking,2
KhawajaMAsif Tum logo ki terah Pakistam k logo ka paisa chori ker k harap ker k baher flat or mehal nahi khareeday,0
Jio ki wajah see log ki waat lgi padi hai choro ab apna profit customer ka Paisa chura k nikal rhe ho ghatiya,0
TimesNow To be construed as tum sabne modi ko vote kyu diya tumhe meri naukri ki koi chinta nahi Meri,0
ashishtweetz VishnuNDTV Haha bombed on trees Wheres we did it in broad day light Ask you commanders jo us waqat,1
RT viruswhiz One last reporting trip with priyanka runwal to pick strawberries mendozamartha you were right this is,1
RT alankar6427 Exclusive censor reports of Bharat is world class Words like movie of the year Best performance,2
RT tanwer m I say Gaya they hear Gautam Buddha,1
RT CbRu91lyHhtK3kr PakSarfrazbugti Saherb1 BBCUrdu Sarfraz Khaan Aap Hamare HaQeeqi Hero ho Aap Ne Pakistan kay Leye,2
ggukieflies Aiiiii mera chhotu bacha Love you and adore you so much Mini You seem distant a few weeks back but,2
kamaalrkhan Dede pyaar de is super hit Wht ever you want to bark ajaydevgn 12th movie,2
Dear nakko thank you for being the best part of my life Thank you for always there for me i know you love to hug,2
steve n o To meet the love,2
msaleemkhanwazi Pain yako mar jao apis me lar lar ke wo kuty ke bachy hamre dushman tu chata he ye k ye larn apis,0
DesiStupides AmitShah manakgupta narendramodi Yeh desh mein tadi par bhi home minister banta hai Aur ek pm,0
SanjayAzadSln tu bhi laat khayeg ek din ab election aane waala hain sudhar jaa nahi to ab to teri gaand mein,0
BeingSalmanKhan Wow Bhai aap dono bahut ache lagte ho pls aap dono se request hai shaadi kar lo very nice coupl,2
RT satgurukimeera WelfareByDSSVolunteers Dhan dhan satguru tera hi aasra Good morning dear Gurmeetramrahim papa ji,2
amritabhinder firstpost Javedakhtarjadu ki rightwingers ne itni li hae ki bechare ka gussa,2
witnessweetene LilJahmir rynteez gngdoll rubyholmess bc,0
Modi ji aaj utthey Modi ji ne signature karey Modi ji ne aaj saffed kurta pyjama pehna Again gonna b sick of this,1
bhale teri english thori kachi ha per we are really proud of you bro SarfarazAhmed,2
Ik Warriors HajiGul bangesh EkDilHa talatkashif M Umair96 Pisces2 beard guy029 Aamir fatehmqazi,1
RT Kmsharm45515727 vikasbha BJP4India Kmsharma Bjp ko vote on Muslim mahilaon n Purushon ne diye jinko yojnaon,1
Because Hind isnt Indic Vande Mataram is better though But Jai Shri Ram is another emotion,1
Shaybi Says Han na ghr m nae tha sb ko pehly so,2
BBMarathiTrolls ColorsMarathi Arey bhau iss bar budget kaam hain na Lonavla se direct goregaon filmcity,2
ArySabirshakir Well done Sabir Bhai bilkul theak kha app na hamian Pakistan main app kasay hi anker chaiya jin ka,1
annuel k I miss youuu and I know you'll see this later kraaa but ok,1
Bahut bahut subhkamna narendramodi sir hum yuva ko apse yahi ummid hai ki ap humare desh ke ujjaw,2
RahulGandhi rahul ji aapka bahut bahut dhanay wad aap congres precident hai aap bahut mehanat kiye good per aap,2
chitraaum Rassi Jal Gayi par bal nahi gayi EVM par Jor nahi chala to patrakar on ke kapde utaro Kuch To karna hai,0
AbowathU kainatn So true yaaaar What a load of disappointment this country has turned out to be and ye aisi ch,0
